,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,ช่วงเวลา,I'm 20,Zweed n' Roll,2018-05-28,317841,56,0.387,0.441,0.489,0.000483,0.101,-7.108,0.0274,169.965,3
1,ไม่รู้ทำไม,PAR-K,Whal & Dolph,2019-02-14,289750,50,0.0504,0.622,0.679,0.000134,0.273,-6.537,0.0273,110.03,4
2,หัวใจเจ้าเอย​ (Not Again),หัวใจเจ้าเอย​ (Not Again),Alyn Wee,2021-07-02,238116,60,0.468,0.542,0.434,6.06e-05,0.0885,-9.396,0.0403,139.87,3
3,ลาก่อน,พบพา...ลาก่อน,YourMOOD,2023-11-03,188500,48,0.0175,0.563,0.852,0.00135,0.108,-7.114,0.0319,135.012,4
4,ได้ไหม,Daydream Blue,fluffypak,2019-12-25,312812,47,0.188,0.501,0.546,5.17e-06,0.141,-7.969,0.0306,85.892,4
5,รอให้เธอบอก,Rayon,Whal & Dolph,2017-11-24,278636,49,0.758,0.58,0.341,1.23e-06,0.163,-7.623,0.0268,114.034,3
6,ลา ลา ลา,ลา ลา ลา,Dept,2019-11-04,253820,61,0.00998,0.394,0.719,0.0,0.0528,-6.071,0.0259,178.005,3
7,ผู้ถูกเลือกให้ผิดหวัง (ดอกไม้ฤดูหนาว),เรนิษรา Radio,เรนิษรา,2023-10-30,270033,54,0.521,0.579,0.341,0.103,0.147,-10.106,0.0272,90.061,4
8,ทิ้งแต่เก็บ (เพลงประกอบภาพยนตร์ ฮาวทูทิ้ง..ทิ้งอย่างไร ไม่ให้เหลือเธอ),เพลงประกอบภาพยนตร์ ฮาวทูทิ้ง..ทิ้งอย่างไร ไม่ให้เหลือเธอ,THE TOYS,2019-11-26,150625,50,0.899,0.324,0.222,0.0518,0.134,-10.322,0.0351,76.975,3
9,จากตรงนี้ที่(เคย)สวยงาม [La La Bye],จากตรงนี้ที่(เคย)สวยงาม [La La Bye],AYLA's,2023-01-20,288250,64,0.47,0.605,0.452,2.98e-06,0.124,-8.951,0.0264,140.027,4
10,APRIL,APRIL,SIRIMONGKOL,2020-04-23,456757,47,0.124,0.413,0.531,0.00039,0.076,-9.307,0.0272,179.859,3
11,วังวน(BOXX FROM HOME),วังวน(BOXX FROM HOME),SERIOUS BACON,2020-04-27,280909,43,0.704,0.547,0.553,0.0,0.127,-9.306,0.0456,175.942,4
12,โทรศัพท์เครื่องเก่า (Memories),โทรศัพท์เครื่องเก่า (Memories),FrenchW,2022-01-19,219500,53,0.0655,0.527,0.453,1.15e-05,0.132,-7.184,0.0335,73.963,4
13,เพลงรักในวันลา,เพลงรักในวันลา,Lower Mansion,2022-11-08,268941,63,0.522,0.453,0.434,3.04e-06,0.531,-6.854,0.026,170.022,3
14,อีกครั้ง,Stupid Love Song,loserpop,2020-11-11,374250,41,0.455,0.646,0.418,0.00146,0.155,-8.426,0.026,76.003,4
15,ขอลา,ขอลา,Pearpilincys,2021-02-09,267500,51,0.975,0.554,0.158,0.000507,0.11,-16.288,0.0286,95.885,3
